id,NRIC,Type,Subtype,Therapist,Date Diagnosed
437,S8946361F,Chronic,Blood Cholesterol,S1483342G,27-09-2014
438,S3828072U,Chronic,Cancer,S1361500H,25-09-1984
439,S1064786R,Physical,Urinary,S5119711C,29-04-2001
440,S6721992I,Chronic,Heart Disease,S3623914K,30-05-2008
441,S2896436Q,Chronic,Asthma,S3623914K,06-02-1989
442,S2555013J,Mental,Depression,S6505514W,22-09-1996
443,S2771472D,Physical,Cataracts,S4004274M,26-10-1986
444,S7559753G,Common,Allergy,S5633830K,07-10-2004
445,S9208481V,Mental,Obsessive-Compulsive Disorder,S6505514W,14-03-1996
446,S7167431V,Chronic,Stroke,S6505514W,05-05-1987
447,S8663634D,Physical,Backpain,S7854499W,07-04-1986
448,S2394435E,Mental,Schizophrenia,S6505514W,21-01-2018
449,S3868334Y,Common,Allergy,S5119711C,19-07-2014
450,S8957407Y,Chronic,Diabetes,S1483342G,05-07-1987
451,S7559753G,Chronic,Blood Cholesterol,S2526745K,11-09-2000
452,S7167431V,Physical,Bronchitis,S5119711C,16-10-1985
453,S5982945W,Physical,Cataracts,S1483342G,18-02-1981
454,S5383555T,Common,Cold,S3623914K,30-11-2005
455,S5911026T,Mental,Eating Disorders,S3623914K,28-07-2015
456,S4284895K,Chronic,Stroke,S5633830K,17-03-2012
457,S2766949Q,Chronic,Blood Cholesterol,S7854499W,27-12-1997
458,S3101050K,Common,Allergy,S2526745K,28-02-1996
459,S6824761N,Mental,Depression,S2526745K,27-11-1994
460,S2291221N,Mental,Eating Disorders,S5119711C,07-06-2008
461,S6291360D,Physical,Cataracts,S3623914K,14-02-1998
462,S8099534R,Physical,Chickenpox,S6336826K,20-12-1990
463,S4534094S,Chronic,Hypertension,S5633830K,29-03-1999
464,S6975096Q,Mental,Eating Disorders,S1361500H,01-11-1981
465,S1481527D,Common,Allergy,S7854499W,21-09-2016
466,S2329053B,Mental,Depression,S4004274M,06-04-1992
467,S7892170K,Physical,Cataracts,S7854499W,01-01-1994
468,S8077513T,Common,Allergy,S1483342G,15-08-1991
469,S5248889C,Chronic,Asthma,S5633830K,09-06-2007
470,S8562926F,Chronic,Blood Cholesterol,S2526745K,27-06-1994
471,S5823789B,Common,Cold,S6336826K,08-05-2018
472,S3828072U,Mental,Obsessive-Compulsive Disorder,S1483342G,11-12-2010
473,S1501823G,Common,Headaches & Migraines,S5633830K,12-02-1996
474,S9697298B,Physical,Cataracts,S6505514W,08-01-1987
475,S6824761N,Common,Cold,S5633830K,03-03-2017
476,S3469880K,Chronic,Blood Cholesterol,S6336826K,21-01-2011
477,S6026284J,Mental,Schizophrenia,S4004274M,10-04-2010
478,S3748968A,Physical,Caries,S4004274M,28-12-2008
479,S5528988Q,Physical,Urinary,S5119711C,29-04-1983
480,S3745954M,Mental,Schizophrenia,S6336826K,20-10-2001
481,S4333744P,Chronic,Cancer,S1483342G,07-03-2004
482,S9376523G,Mental,Panic Attack,S5633830K,07-07-1989
483,S5528988Q,Mental,Schizophrenia,S5119711C,15-04-1984
484,S8754905J,Chronic,Blood Cholesterol,S1483342G,14-05-1991
485,S5085083P,Mental,Schizophrenia,S5633830K,22-06-2016
486,S6470065N,Chronic,Hypertension,S6505514W,27-08-2007
487,S2798820I,Physical,Caries,S5119711C,20-10-2008
488,S1197784I,Physical,Gout,S5633830K,18-02-2005
489,S6630182H,Chronic,Hypertension,S4004274M,19-12-2012
490,S3914156O,Physical,Caries,S2526745K,02-01-2006
491,S8274053F,Mental,Schizophrenia,S1361500H,15-02-2009
492,S9516376B,Common,Allergy,S6505514W,24-06-1985
493,S5724356N,Physical,Backpain,S3623914K,13-03-1990
494,S2401172K,Common,Cold,S7854499W,30-11-1982
495,S2330932N,Chronic,Blood Cholesterol,S6336826K,11-11-1991
496,S3979521Q,Physical,Caries,S2526745K,09-10-2007
497,S5872730E,Physical,Backpain,S2526745K,18-07-2000
498,S3655063L,Mental,Eating Disorders,S1361500H,22-04-1991
499,S9350585J,Physical,Cataracts,S5119711C,13-02-1989
500,S8099534R,Chronic,Blood Cholesterol,S6336826K,08-11-1995
501,S4212840P,Chronic,Asthma,S3623914K,03-09-2000
502,S3550866N,Physical,Chickenpox,S5119711C,27-01-1998
503,S2789615A,Chronic,Hypertension,S1483342G,10-05-2017
504,S6276727U,Mental,Depression,S1483342G,11-01-2005
505,S1760554X,Physical,Haemorrhoids,S4004274M,07-06-1989
506,S5503056A,Chronic,Blood Cholesterol,S7854499W,14-12-1981
507,S1941236E,Mental,Depression,S4004274M,27-12-1988
508,S7524741N,Common,Headaches & Migraines,S1483342G,21-01-1988
509,S6997766X,Mental,Depression,S7854499W,05-08-2001
510,S1878787I,Common,Allergy,S5633830K,10-08-1995
511,S4378176B,Common,Allergy,S7854499W,20-02-2000
512,S2777811G,Physical,Chickenpox,S3623914K,19-11-1984
513,S6432032N,Chronic,Diabetes,S3623914K,07-12-2006
514,S1037263Z,Physical,Haemorrhoids,S1483342G,06-02-1995
515,S2245129Z,Mental,Schizophrenia,S4004274M,10-10-2001
516,S9820079Z,Common,Headaches & Migraines,S2526745K,18-08-2002
517,S2448840B,Common,Headaches & Migraines,S6505514W,21-12-2009
518,S7380271J,Common,Allergy,S1483342G,23-02-2014
519,S9472218B,Mental,Panic Attack,S2526745K,02-05-1991
520,S4274119I,Common,Cold,S2526745K,23-09-1996
521,S4903525U,Mental,Panic Attack,S1483342G,10-09-1980
522,S7304116U,Chronic,Asthma,S6336826K,29-01-2014
523,S8562926F,Physical,Gout,S7854499W,17-10-1989
524,S7133907P,Physical,Gout,S5633830K,02-07-2012
525,S3682928P,Chronic,Asthma,S6505514W,30-09-1999
526,S1800068S,Chronic,Stroke,S1361500H,15-01-2010
527,S3116063A,Physical,Cataracts,S2526745K,11-01-1996
528,S3914289N,Physical,Haemorrhoids,S4004274M,24-10-1998
529,S9547330Q,Chronic,Heart Disease,S1361500H,09-09-2018
530,S4088765B,Chronic,Cancer,S1361500H,18-10-2009
531,S2321201A,Chronic,Stroke,S7854499W,24-08-1998
532,S5686109K,Chronic,Stroke,S7854499W,17-08-2014
533,S6128205K,Mental,Eating Disorders,S2526745K,06-10-1980
534,S8317441X,Mental,Schizophrenia,S5633830K,29-03-1980
535,S5080123M,Mental,Obsessive-Compulsive Disorder,S1361500H,13-04-1990
536,S6630182H,Physical,Urinary,S1483342G,02-10-2017
537,S4252628Y,Common,Cold,S5119711C,06-03-1994
538,S5709010F,Physical,Urinary,S1483342G,02-02-2001
539,S4676526W,Physical,Haemorrhoids,S1483342G,24-07-1983
540,S4684962U,Chronic,Cancer,S6505514W,02-01-1984
541,S5872730E,Physical,Backpain,S3623914K,09-08-1993
542,S3654759E,Physical,Urinary,S2526745K,28-09-1982
543,S6886015L,Chronic,Stroke,S1361500H,14-01-1986
544,S5140138X,Chronic,Hypertension,S1361500H,16-01-2012
545,S1088184S,Physical,Caries,S2526745K,19-01-1994
546,S4995341V,Physical,Bronchitis,S1361500H,11-07-2004
547,S3932127R,Mental,Schizophrenia,S6505514W,17-08-1994
548,S4931446Z,Physical,Haemorrhoids,S3623914K,13-01-2014
549,S4553724F,Common,Allergy,S1483342G,29-04-1996
550,S7943742K,Common,Cold,S5119711C,21-03-2016
551,S8185782X,Common,Cold,S5119711C,11-01-1982
552,S1268082O,Physical,Haemorrhoids,S4004274M,13-08-2014
553,S4419365A,Common,Cold,S5633830K,07-11-2003
554,S4018703W,Mental,Panic Attack,S1483342G,08-07-2016
555,S5461271X,Mental,Schizophrenia,S6505514W,08-08-1980
556,S8435454O,Chronic,Blood Cholesterol,S6505514W,13-09-1982
557,S4167606I,Common,Allergy,S5119711C,28-12-1981
558,S4274119I,Chronic,Stroke,S7854499W,25-01-2004
559,S1011719M,Chronic,Heart Disease,S5119711C,13-02-1992
560,S5403785R,Physical,Gingivitis,S5119711C,24-01-2015
561,S5415049T,Common,Allergy,S1361500H,01-06-1995
562,S6994467S,Common,Allergy,S3623914K,30-04-1983
563,S6793173A,Common,Headaches & Migraines,S4004274M,22-03-1980
564,S8717918Q,Mental,Panic Attack,S5633830K,03-10-2002
565,S5650232O,Common,Allergy,S2526745K,11-01-2007
566,S1027699D,Chronic,Stroke,S4004274M,03-02-1993
567,S8330773Y,Chronic,Heart Disease,S6336826K,03-11-2004
568,S3560315H,Chronic,Diabetes,S1483342G,18-12-2010
569,S8185782X,Physical,Chickenpox,S1483342G,05-07-2011
570,S3487695C,Mental,Eating Disorders,S4004274M,08-05-1999
571,S4881532P,Mental,Schizophrenia,S6505514W,22-01-2010
572,S1691197D,Mental,Schizophrenia,S5119711C,21-02-1986
573,S8483323Y,Chronic,Stroke,S1483342G,02-07-1996
574,S7847480Q,Common,Cold,S6505514W,05-11-1988
575,S2796128O,Mental,Schizophrenia,S6505514W,04-04-2009
576,S6703916G,Mental,Schizophrenia,S6336826K,29-01-2004
577,S8115510U,Physical,Cataracts,S3623914K,20-02-1996
578,S1700230H,Mental,Obsessive-Compulsive Disorder,S6505514W,19-05-1985
579,S2245129Z,Chronic,Stroke,S1361500H,07-06-1986
580,S8754540Z,Common,Cold,S5633830K,26-04-1997
581,S4424024Y,Chronic,Diabetes,S5119711C,09-08-1998
582,S1002874L,Chronic,Cancer,S2526745K,27-09-1988
583,S6626104I,Physical,Bronchitis,S7854499W,13-12-1988
584,S3176657I,Chronic,Cancer,S5119711C,17-02-1992
585,S8520697O,Chronic,Cancer,S5633830K,05-04-2002
586,S4611311L,Chronic,Asthma,S5119711C,28-05-2006
587,S5278313V,Physical,Backpain,S2526745K,30-01-2003
588,S5144111L,Mental,Obsessive-Compulsive Disorder,S2526745K,26-07-2014
589,S7692966K,Mental,Panic Attack,S7854499W,19-05-1998
590,S8483323Y,Common,Allergy,S5119711C,13-02-2001
591,S6418028I,Mental,Obsessive-Compulsive Disorder,S7854499W,20-08-1982
592,S3877006D,Common,Cold,S5633830K,02-12-2016
593,S4883176S,Physical,Haemorrhoids,S6336826K,20-06-1996
594,S7944919P,Common,Allergy,S7854499W,09-05-2015
595,S6039998E,Physical,Cataracts,S5119711C,23-01-2003
596,S9425336C,Chronic,Hypertension,S1361500H,05-06-2011
597,S7616883V,Chronic,Asthma,S1361500H,25-11-2003
598,S1877977C,Physical,Cataracts,S1361500H,19-11-2014
599,S2584674F,Physical,Urinary,S1483342G,07-06-2016
600,S4491696I,Chronic,Blood Cholesterol,S1361500H,18-03-2009
601,S1501693P,Chronic,Blood Cholesterol,S5633830K,20-02-1995
602,S7971670R,Chronic,Stroke,S2526745K,03-10-2002
603,S4676526W,Common,Allergy,S6505514W,30-07-1995
604,S6313245G,Common,Allergy,S5633830K,19-07-2006
605,S9368583H,Physical,Backpain,S4004274M,11-09-1982
606,S2356252O,Common,Headaches & Migraines,S7854499W,29-03-1983
607,S4017666B,Mental,Panic Attack,S5633830K,10-10-1989
608,S5922694D,Physical,Caries,S6505514W,20-03-1997
609,S4730137I,Mental,Obsessive-Compulsive Disorder,S5633830K,17-10-1982
610,S1298808W,Physical,Urinary,S6505514W,10-05-2000
611,S4883176S,Chronic,Asthma,S5119711C,31-07-1996
612,S3023538V,Mental,Panic Attack,S1483342G,15-03-1984
613,S3016017R,Common,Headaches & Migraines,S5119711C,03-03-1991
614,S3034597S,Mental,Obsessive-Compulsive Disorder,S3623914K,23-01-2018
615,S3750576F,Physical,Bronchitis,S6336826K,06-08-1987
616,S7559753G,Chronic,Stroke,S1361500H,25-05-2012
617,S6252443F,Chronic,Stroke,S3623914K,02-09-2015
618,S8520697O,Physical,Bronchitis,S6336826K,19-03-1998
619,S8185782X,Mental,Eating Disorders,S1361500H,15-11-2014
620,S3176657I,Mental,Depression,S2526745K,01-10-1985
621,S3942473O,Common,Cold,S5119711C,17-08-2005
622,S6721992I,Mental,Obsessive-Compulsive Disorder,S7854499W,31-07-2009
623,S8926101S,Chronic,Stroke,S6505514W,02-12-2008
624,S4995341V,Mental,Eating Disorders,S7854499W,13-04-1994
625,S8046870W,Chronic,Cancer,S7854499W,13-02-1985
626,S5644615J,Mental,Panic Attack,S6505514W,06-07-2004
627,S6470065N,Mental,Obsessive-Compulsive Disorder,S6505514W,01-06-2007
628,S5517253G,Mental,Schizophrenia,S4004274M,10-05-2003
629,S9612153O,Chronic,Heart Disease,S7854499W,20-07-1996
630,S3773429W,Chronic,Diabetes,S7854499W,07-02-2018
631,S8847461D,Physical,Cataracts,S1483342G,11-12-1988
632,S7875159X,Mental,Panic Attack,S1483342G,19-01-1980
633,S9038196W,Common,Allergy,S6505514W,14-07-2011
634,S4005763L,Chronic,Cancer,S1361500H,30-06-1981
635,S3584724I,Common,Cold,S3623914K,26-05-2005
636,S3171961T,Mental,Obsessive-Compulsive Disorder,S2526745K,20-09-2009
637,S6917752H,Common,Headaches & Migraines,S6336826K,18-07-2008
638,S4157752Y,Physical,Backpain,S5119711C,15-03-1997
639,S8754905J,Mental,Eating Disorders,S6505514W,06-06-2008
640,S4788672P,Mental,Panic Attack,S6336826K,22-08-2017
641,S9752291E,Mental,Depression,S6505514W,17-01-2002
642,S5040384I,Physical,Caries,S1361500H,25-10-1985
643,S9487437M,Chronic,Asthma,S7854499W,09-05-1999
644,S2894462R,Physical,Gout,S5119711C,03-07-2009
645,S6998592G,Mental,Schizophrenia,S5119711C,31-01-2003
646,S2462506B,Physical,Bronchitis,S3623914K,15-10-1981
647,S8004222Z,Physical,Urinary,S3623914K,26-11-1989
648,S8520040W,Mental,Panic Attack,S2526745K,01-01-1990
649,S7892170K,Common,Allergy,S1361500H,14-03-2000
650,S4881532P,Physical,Caries,S6336826K,18-03-2014
651,S3868334Y,Common,Cold,S6505514W,22-06-1989
652,S7831455Y,Mental,Schizophrenia,S7854499W,12-01-1984
653,S2858412M,Mental,Schizophrenia,S6336826K,17-09-2015
654,S4140290O,Common,Cold,S3623914K,25-11-1992
655,S2716385D,Physical,Backpain,S1483342G,08-01-2002
656,S3171644V,Physical,Caries,S6336826K,18-03-1980
657,S7830855B,Common,Headaches & Migraines,S6505514W,09-11-1994
658,S1413734Q,Chronic,Heart Disease,S5119711C,22-02-2002
659,S6471426H,Mental,Panic Attack,S1483342G,14-05-1981
660,S8591586J,Mental,Eating Disorders,S6505514W,20-05-1998
661,S4337591T,Mental,Schizophrenia,S5119711C,16-01-1996
662,S3486179Q,Common,Headaches & Migraines,S3623914K,22-01-2015
663,S4478656U,Physical,Urinary,S5633830K,22-10-1987
664,S8413552R,Chronic,Cancer,S3623914K,27-12-1999
665,S6099446D,Physical,Cataracts,S1361500H,20-06-2015
666,S9084966W,Common,Cold,S1483342G,10-02-2012
667,S2637542J,Common,Allergy,S5633830K,06-09-2000
668,S5234275Y,Physical,Cataracts,S6505514W,29-12-1995
669,S1069163V,Common,Headaches & Migraines,S2526745K,21-03-1980
670,S4337591T,Mental,Obsessive-Compulsive Disorder,S6505514W,16-08-2011
671,S4424024Y,Chronic,Cancer,S6505514W,03-12-2016
672,S4333744P,Physical,Chickenpox,S1361500H,15-03-2009
673,S6785868O,Physical,Gingivitis,S4004274M,19-05-1981
674,S3179425K,Mental,Panic Attack,S7854499W,17-08-1981
675,S4883176S,Physical,Urinary,S5633830K,10-04-2014
676,S2018627K,Physical,Urinary,S6336826K,24-01-2006
677,S8923095F,Physical,Caries,S5119711C,15-10-1980
678,S5365886C,Common,Headaches & Migraines,S6505514W,09-01-1994
679,S8923095F,Physical,Backpain,S6505514W,07-12-1980
680,S2191316U,Mental,Depression,S2526745K,29-12-2014
681,S9708381S,Mental,Depression,S1483342G,16-11-2011
682,S8664016F,Chronic,Cancer,S4004274M,02-11-2006
683,S8873637T,Physical,Chickenpox,S6505514W,07-10-1980
684,S7300264H,Common,Allergy,S5633830K,10-03-1982
685,S8754540Z,Chronic,Hypertension,S1361500H,02-11-2000
686,S5269386J,Common,Headaches & Migraines,S2526745K,15-07-2018
687,S5727140L,Chronic,Cancer,S2526745K,10-05-1986
688,S8485883U,Chronic,Asthma,S7854499W,10-09-2009
689,S3005533X,Physical,Cataracts,S6336826K,20-08-1997
690,S6553273X,Common,Cold,S5119711C,12-12-2017
691,S1001237R,Physical,Urinary,S4004274M,20-08-1990
692,S9845041U,Chronic,Cancer,S5633830K,14-12-2009
693,S9474272Z,Chronic,Asthma,S6505514W,11-11-1994
694,S4969038O,Chronic,Stroke,S7854499W,10-02-1993
695,S1691197D,Physical,Cataracts,S2526745K,24-11-2003
696,S6471426H,Common,Allergy,S2526745K,06-01-2012
697,S3168843N,Physical,Haemorrhoids,S7854499W,28-01-2015
698,S8739821O,Physical,Caries,S1483342G,28-02-1993
699,S6128205K,Common,Allergy,S2526745K,22-03-1983
700,S1011719M,Common,Cold,S1483342G,25-05-2012
701,S2045486J,Physical,Caries,S1483342G,19-02-1990
702,S5234275Y,Physical,Backpain,S7854499W,22-06-1987
703,S8218925C,Chronic,Asthma,S6505514W,04-05-1996
704,S4611311L,Chronic,Heart Disease,S2526745K,19-08-1985
705,S7831455Y,Physical,Caries,S5119711C,27-09-1986
706,S1800068S,Physical,Urinary,S3623914K,21-09-2005
707,S6998592G,Common,Headaches & Migraines,S6336826K,29-06-1981
708,S2191316U,Mental,Panic Attack,S5633830K,11-05-2004
709,S9648573S,Physical,Cataracts,S3623914K,10-05-1998
710,S5606305X,Chronic,Stroke,S3623914K,22-02-2009
711,S1769429E,Mental,Depression,S1483342G,17-04-2015
712,S2293241W,Common,Headaches & Migraines,S3623914K,12-05-1994
713,S7624747K,Common,Cold,S7854499W,20-06-2007
714,S6552190D,Common,Headaches & Migraines,S2526745K,26-10-1991
715,S2332864N,Common,Cold,S1361500H,26-11-2012
716,S7906874Y,Physical,Bronchitis,S7854499W,24-06-2008
717,S7917587D,Mental,Schizophrenia,S5633830K,26-11-2016
718,S4844032T,Physical,Backpain,S5119711C,20-10-2008
719,S9068435Z,Common,Cold,S1361500H,17-04-1991
720,S2298913K,Physical,Cataracts,S1361500H,28-07-2015
721,S4274119I,Physical,Gout,S2526745K,03-07-2016
722,S5945614M,Chronic,Stroke,S2526745K,07-11-1995
723,S6471426H,Common,Headaches & Migraines,S7854499W,01-08-2011
724,S3932127R,Mental,Panic Attack,S4004274M,24-09-2016
725,S5461271X,Chronic,Hypertension,S7854499W,04-08-2007
726,S2469992Y,Chronic,Diabetes,S5633830K,27-09-1990
727,S2291221N,Common,Headaches & Migraines,S1361500H,18-06-1990
728,S7992401E,Chronic,Blood Cholesterol,S6336826K,17-03-1990
729,S8371935B,Common,Headaches & Migraines,S4004274M,27-01-2018
730,S2291221N,Chronic,Cancer,S2526745K,19-02-2015
731,S3920438V,Mental,Panic Attack,S2526745K,18-05-1987
732,S4122501T,Mental,Depression,S3623914K,25-02-1989
733,S2255290C,Mental,Panic Attack,S1361500H,26-05-2017
734,S7449357N,Chronic,Diabetes,S6336826K,30-10-2017
735,S7475339B,Chronic,Cancer,S1483342G,17-09-2015
736,S8087270C,Physical,Backpain,S2526745K,22-10-1987
737,S4130238T,Physical,Gout,S6336826K,23-11-2012
738,S4515397Y,Physical,Chickenpox,S1361500H,08-03-1996
739,S3819981F,Mental,Obsessive-Compulsive Disorder,S4004274M,20-09-1989
740,S8831513H,Physical,Backpain,S5633830K,17-09-2000
741,S1068623A,Physical,Gingivitis,S3623914K,05-05-1996
742,S2766949Q,Common,Headaches & Migraines,S1483342G,22-03-1998
743,S9143579V,Chronic,Diabetes,S3623914K,16-01-2002
744,S9039260E,Physical,Urinary,S5119711C,11-03-1986
745,S9845041U,Chronic,Blood Cholesterol,S1361500H,22-08-1980
746,S7290784R,Chronic,Asthma,S6505514W,21-09-1983
747,S3474308F,Physical,Urinary,S6336826K,13-04-1994
748,S2332864N,Mental,Depression,S2526745K,23-03-1991
749,S2301006U,Common,Allergy,S7854499W,02-08-1984
750,S7670262F,Mental,Schizophrenia,S3623914K,22-01-2003
751,S9712800N,Common,Allergy,S6336826K,06-10-1990
752,S3654759E,Mental,Obsessive-Compulsive Disorder,S1361500H,15-10-1997
753,S9458097Q,Chronic,Stroke,S6505514W,24-02-1996
754,S5365886C,Physical,Backpain,S3623914K,25-04-1998
755,S5161810Q,Physical,Cataracts,S2526745K,04-01-1998
756,S6152413U,Common,Cold,S7854499W,02-08-2005
757,S2255290C,Mental,Eating Disorders,S1361500H,21-02-2010
758,S5085083P,Chronic,Asthma,S6336826K,20-01-2004
759,S9733251C,Chronic,Stroke,S1483342G,10-04-1985
760,S8847461D,Common,Cold,S2526745K,13-03-1981
761,S9368583H,Chronic,Stroke,S3623914K,22-03-1983
762,S6442193E,Mental,Eating Disorders,S5633830K,06-12-1983
763,S2535465Y,Common,Headaches & Migraines,S5633830K,01-02-2001
764,S2301006U,Common,Headaches & Migraines,S6336826K,23-09-1997
765,S3092897U,Physical,Haemorrhoids,S4004274M,16-08-1993
766,S2449583J,Mental,Panic Attack,S5633830K,08-02-2004
767,S3294588W,Common,Cold,S2526745K,22-09-2013
768,S9780705O,Mental,Eating Disorders,S1361500H,13-03-2012
769,S9487777U,Common,Headaches & Migraines,S5119711C,08-08-1991
770,S9752291E,Common,Cold,S2526745K,28-02-2015
771,S2448840B,Physical,Bronchitis,S1483342G,31-12-1990
772,S4140290O,Mental,Panic Attack,S6505514W,04-07-1998
773,S3223873S,Mental,Schizophrenia,S3623914K,02-11-1988
774,S2255290C,Chronic,Heart Disease,S2526745K,18-02-2013
775,S2405741U,Mental,Obsessive-Compulsive Disorder,S6505514W,16-06-1989
776,S5973648C,Chronic,Stroke,S4004274M,05-10-1985
777,S5922694D,Chronic,Hypertension,S1361500H,14-08-2001
778,S9143579V,Common,Allergy,S6505514W,25-05-2003
779,S3550761H,Common,Allergy,S1483342G,25-09-1983
780,S2040568B,Chronic,Hypertension,S5633830K,01-07-1983
781,S6993281N,Common,Headaches & Migraines,S5119711C,27-10-2017
782,S2862263A,Mental,Depression,S5119711C,22-06-1990
783,S4400519D,Chronic,Heart Disease,S6336826K,30-06-1980
784,S6717881U,Physical,Caries,S5119711C,17-05-2005
785,S6608600Z,Chronic,Diabetes,S1361500H,18-04-1981
786,S5352330R,Mental,Depression,S7854499W,29-08-2016
787,S4534094S,Mental,Panic Attack,S1483342G,10-11-1988
788,S3500541Q,Mental,Obsessive-Compulsive Disorder,S6505514W,18-08-2005
789,S8897061R,Mental,Schizophrenia,S2526745K,17-10-2004
790,S9458097Q,Chronic,Hypertension,S6505514W,14-03-2018
791,S4157752Y,Mental,Eating Disorders,S5119711C,09-07-2017
792,S5348287R,Mental,Panic Attack,S4004274M,17-01-1991
793,S4018703W,Common,Headaches & Migraines,S4004274M,04-12-2004
794,S5234275Y,Physical,Caries,S3623914K,19-04-1992
795,S7111485F,Physical,Haemorrhoids,S1483342G,06-04-2015
796,S8729984J,Chronic,Diabetes,S6336826K,07-11-1985
797,S7516837T,Chronic,Diabetes,S6505514W,11-11-2010
798,S7289788B,Chronic,Diabetes,S5119711C,24-12-1988
799,S2524309O,Physical,Gingivitis,S6505514W,16-06-2018
800,S3665292A,Chronic,Stroke,S5633830K,17-12-2007
801,S5922694D,Common,Headaches & Migraines,S6336826K,07-04-1987
802,S7587829D,Physical,Caries,S5633830K,28-04-2012
803,S8416430J,Chronic,Hypertension,S7854499W,12-11-1988
804,S2269800B,Physical,Cataracts,S7854499W,05-10-2009
805,S1692591D,Physical,Urinary,S6336826K,29-10-1996
806,S2592861H,Common,Cold,S5119711C,11-11-1984
807,S7380271J,Physical,Cataracts,S6336826K,16-11-2013
808,S6528238G,Common,Allergy,S2526745K,08-12-1995
809,S2265328E,Chronic,Blood Cholesterol,S7854499W,02-12-1998
810,S5770438E,Physical,Haemorrhoids,S1361500H,12-12-2003
811,S1660863F,Common,Cold,S7854499W,16-04-2014
812,S3914156O,Physical,Chickenpox,S1361500H,19-08-1992
813,S4569307S,Physical,Gingivitis,S5633830K,08-04-2013
814,S4980626L,Physical,Gingivitis,S4004274M,21-09-1986
815,S7890445T,Chronic,Hypertension,S5633830K,12-11-1982
816,S2770498A,Mental,Panic Attack,S5119711C,13-06-1987
817,S1717365B,Chronic,Cancer,S2526745K,12-07-2004
818,S7216033E,Mental,Obsessive-Compulsive Disorder,S6336826K,21-07-1988
819,S7007681E,Physical,Haemorrhoids,S1483342G,20-12-2011
820,S5856170B,Common,Headaches & Migraines,S6505514W,15-12-2000
821,S8435454O,Physical,Cataracts,S2526745K,18-06-2009
822,S3828072U,Mental,Obsessive-Compulsive Disorder,S5633830K,15-03-2011
823,S3100678C,Mental,Eating Disorders,S4004274M,20-10-1994
824,S2255290C,Chronic,Heart Disease,S4004274M,22-10-2004
825,S2198863C,Common,Headaches & Migraines,S7854499W,31-03-2001
826,S7516837T,Mental,Schizophrenia,S2526745K,03-06-2004
827,S6861104M,Physical,Backpain,S4004274M,26-07-2009
828,S4628957O,Chronic,Heart Disease,S3623914K,28-03-1998
829,S3171644V,Chronic,Hypertension,S2526745K,17-03-2000
830,S8547076V,Mental,Obsessive-Compulsive Disorder,S4004274M,26-03-2011
831,S5348287R,Mental,Obsessive-Compulsive Disorder,S5119711C,30-04-2004
832,S8200946M,Common,Cold,S3623914K,18-06-2001
833,S9354638B,Physical,Gout,S2526745K,06-03-2008
834,S4883176S,Chronic,Asthma,S6336826K,05-02-1988
835,S1911722I,Mental,Panic Attack,S1361500H,10-12-2016
836,S4464666C,Chronic,Asthma,S1483342G,09-10-2013
837,S6960401V,Mental,Schizophrenia,S5633830K,06-09-1988
838,S6348568M,Mental,Schizophrenia,S6505514W,10-07-2017
839,S4309901A,Chronic,Blood Cholesterol,S6336826K,23-12-1981
840,S3938174J,Common,Headaches & Migraines,S5119711C,15-06-2006
841,S7296890S,Physical,Haemorrhoids,S6505514W,10-10-2016
842,S6640132A,Chronic,Stroke,S2526745K,08-05-1983
843,S3617193O,Physical,Gingivitis,S1361500H,03-10-2018
844,S1760554X,Common,Cold,S5119711C,07-09-2015
845,S8926101S,Physical,Bronchitis,S5633830K,07-12-1994
846,S6930105K,Chronic,Asthma,S1361500H,01-01-2001
847,S5278313V,Common,Headaches & Migraines,S2526745K,14-07-1991
848,S8945766O,Mental,Obsessive-Compulsive Disorder,S5119711C,28-06-2015
849,S7133907P,Physical,Haemorrhoids,S5633830K,17-09-1992
850,S8317441X,Mental,Obsessive-Compulsive Disorder,S7854499W,07-03-2009
851,S8716588D,Chronic,Asthma,S1483342G,03-03-1987
852,S6655947K,Physical,Caries,S2526745K,11-12-2003
853,S8468749O,Physical,Cataracts,S5119711C,03-04-2018
854,S7058003Z,Physical,Gout,S6505514W,17-05-1997
855,S5948196U,Chronic,Asthma,S6336826K,25-06-2017
856,S3171644V,Chronic,Asthma,S5119711C,20-08-1985
857,S8242756J,Physical,Backpain,S2526745K,30-07-1983
858,S8855049J,Chronic,Diabetes,S2526745K,06-11-1985
859,S4088765B,Common,Cold,S1483342G,09-04-1990
860,S3164536J,Mental,Panic Attack,S1483342G,02-04-2009
861,S1469889Q,Common,Headaches & Migraines,S2526745K,03-01-1988
862,S4959927M,Physical,Haemorrhoids,S6505514W,05-10-2006
863,S1543299A,Chronic,Diabetes,S3623914K,08-12-2001
864,S4109495F,Common,Allergy,S7854499W,05-06-2002
865,S8847944E,Chronic,Blood Cholesterol,S5633830K,19-02-1980
866,S2555013J,Mental,Depression,S5119711C,01-11-2015
867,S7692966K,Mental,Panic Attack,S1361500H,28-04-2015
868,S7599653J,Common,Cold,S6336826K,04-04-1997
869,S1501823G,Mental,Schizophrenia,S1483342G,02-09-2016
870,S8242756J,Mental,Panic Attack,S5633830K,02-12-1983
871,S9299242M,Chronic,Asthma,S5119711C,25-05-2014
872,S8327207N,Chronic,Asthma,S3623914K,02-02-2001
873,S2823984U,Physical,Haemorrhoids,S1361500H,08-09-1991
